,train_loss,test_loss
0,559776.6055555556,364430.44393382355
1,229940.17320601852,175648.55514705883
2,148341.2142939815,139991.33478860295
3,117196.13217592593,107199.74149816176
4,99167.82748842593,94269.16084558824
5,85927.47494212963,83141.12718290441
6,78397.75237268518,83908.15314797794
7,73502.19215856481,73854.14694393383
8,69313.55026041667,68699.31721047794
9,65737.62728587963,62813.23414522059
10,62648.484939236114,61331.21484375
11,58394.63741319445,59772.595243566175
12,56208.957624421295,58686.533662683825
13,54838.16637731482,54068.08536305147
14,51922.256973379626,51774.580537683825
15,50817.08304398148,51804.72564338235
16,49413.92478298611,49036.30928308824
17,50717.852314814816,47976.48408777574
18,46705.22084780093,46975.89424402574
19,48866.88070023148,45792.32134650735
20,44620.47183159722,44216.205193014706
21,44775.524522569445,46500.56094898897
22,43049.06600115741,43125.69789751838
23,44658.58780381944,41708.12281709559
24,40916.699696180556,40807.803883272056
25,41388.96128472222,45335.64056755515
26,39834.665697337965,39284.62930836397
27,39009.61851851852,38478.34237132353
28,38322.369429976854,37741.71185661765
29,38265.39480613426,45055.241670496325
30,38659.41079282408,36498.85903033088
31,37153.784953703704,36250.62362132353
32,35868.98589409722,35648.38631663603
33,35080.339742476855,36121.0361328125
34,36393.793171296296,34293.19657628676
35,34259.89168113426,35136.40952435662
36,34158.022352430555,33606.80853630515
37,33191.827097800924,35293.94468060662
38,32969.35201099537,32679.49919577206
39,32325.69424189815,31791.784237132353
40,31826.911103877315,33288.15630744485
41,31778.54419849537,32249.88786764706
42,31374.800672743055,31708.206571691175
43,38026.81137152778,30889.95818014706
44,30281.277141203704,30218.03159466912
45,29827.673524305555,29908.962775735294
46,29801.486226851852,30063.3623046875
47,29746.90574363426,30584.55256204044
48,28894.787803819443,29047.761833639706
49,30311.380613425925,28585.089441636028
50,28318.371961805555,28500.988396139706
51,28913.74830005787,30299.196059283087
52,28682.141724537036,29531.096966911766
53,28339.655844907407,27702.153837316175
54,27901.84503761574,27277.560144761028
55,26925.518561921297,26875.326171875
56,27756.87531828704,26877.566923253675
57,26808.524971064813,27807.16176470588
58,27304.991710069444,26189.368910845587
59,27561.750520833335,28017.471564797794
60,26111.27271412037,25790.048540900734
61,25608.279651331017,25446.923253676472
62,26135.572106481482,25448.354951746325
63,26814.807096354165,26158.231502757353
64,25441.213353587962,25113.03889016544
65,24693.24162326389,24521.130342371325
66,24410.22511574074,25861.099666819853
67,25089.59609375,25824.835650275734
68,25523.203117766203,28645.792107077206
69,24061.55334201389,23911.225873161766
70,24519.277690972223,26045.297966452206
71,23880.421860532406,23449.999569163603
72,23414.48990162037,24514.720645680147
73,23981.55546875,23132.093175551472
74,22691.348408564816,22712.49867876838
75,22777.153624131945,22796.012724034925
76,27096.88499710648,24428.850126378675
77,23001.475166377313,31625.554630055147
78,23519.78693576389,22398.738884420956
79,23131.595131655093,28199.572782628675
80,22645.229094328704,22252.77699908088
81,21811.141413483798,21887.100298713234
82,21666.116066261573,21716.420668658087
83,22955.833680555555,21676.784409466913
84,21498.713295717593,21504.008817784925
85,21687.539619502313,21752.247357536766
86,21269.197649016205,21160.007065716913
87,22302.624139178242,26354.301470588234
88,21681.74873408565,20955.933220358456
89,21005.18283420139,21995.766716452206
90,21711.917722800925,21469.790469898897
91,21372.705541087962,21044.297277113972
92,20631.43308738426,21889.215906479778
93,21594.157523148147,21314.320858226103
94,21013.186407696758,20356.28303079044
95,20038.74453125,20086.265366498163
96,20805.526338252315,21028.706485523897
97,21329.859266493055,20151.43930951287
98,19788.457725694443,19848.362764246325
99,19924.455143229166,19951.304141773897
100,19660.93648003472,19527.879509420956
101,20604.66708622685,19848.836483226103
102,19704.219755497685,19635.348661534925
103,19768.57521339699,19656.28598920037
104,19525.15365306713,30362.201918658087
105,24855.57199074074,19651.280675551472
106,19111.31072771991,19159.711052389706
107,18951.813686342593,19089.756462545956
